product,url
AY390_WQ9876,/data/v1/CA/products/full/AY390/c/womens_category/swimwear
AY372_YD0013,/data/v1/CA/products/full/AY372/c/shops/reimagined/pajamas
AZ062_EC7253,/data/v1/CA/products/full/AZ062/c/womens_category/jewelry/metals
AY419_PT0013,/data/v1/CA/products/full/AY419/c/womens_category/pajamas/pajamasets
AX992_PT0025,/data/v1/CA/products/full/AX992/c/shops/reimagined/swimwear
AY353_PT0032,/data/v1/CA/products/full/AY353/c/womens_category/pajamas/pajamasets
AY067_NA6445,/data/v1/CA/products/full/AY067/c/shops/bundles/w_knits
AY037_WY6506,/data/v1/CA/products/full/AY037/c/womens_category/swimwear
AX991_PT0025,/data/v1/CA/products/full/AX991/c/shops/reimagined/swimwear
AX988_PT0025,/data/v1/CA/products/full/AX988/c/shops/reimagined/swimwear
AY420_YD0056,/data/v1/CA/products/full/AY420/c/womens_category/pajamas/pajamasets
AY387_WQ9876,/data/v1/CA/products/full/AY387/c/womens_category/swimwear
AY038_WY6506,/data/v1/CA/products/full/AY038/c/womens_category/swimwear
AX989_PT0025,/data/v1/CA/products/full/AX989/c/shops/reimagined/swimwear
AX946_WY4144,/data/v1/CA/products/full/AX946/c/womens_category/swimwear
AS027_YD0443,/data/v1/CA/products/full/AS027/c/womens_category/pajamas/lounge_tops
BD715_EE1729,/data/v1/CA/products/full/BD715/c/womens_category/all_accessories/gifts
BD716_EE1732,/data/v1/CA/products/full/BD716/c/womens_category/all_accessories/gifts
BD721_EE1731,/data/v1/CA/products/full/BD721/c/womens_category/all_accessories/gifts
BD719_EE1735,/data/v1/CA/products/full/BD719/c/womens_category/all_accessories/gifts
BD720_EE1730,/data/v1/CA/products/full/BD720/c/womens_category/all_accessories/gifts
BD718_EE1734,/data/v1/CA/products/full/BD718/c/womens_category/all_accessories/gifts
BD717_EE1733,/data/v1/CA/products/full/BD717/c/womens_category/all_accessories/gifts
BD714_EE1728,/data/v1/CA/products/full/BD714/c/womens_category/all_accessories/gifts
BD713_EE1727,/data/v1/CA/products/full/BD713/c/womens_category/all_accessories/gifts
BD580_EG7294,/data/v1/CA/products/full/BD580/c/shops/associatediscountexclusions
BD579_EG7294,/data/v1/CA/products/full/BD579/c/shops/associatediscountexclusions
M8050_BK0001,/data/v1/CA/products/full/M8050/c/womens_category/socksandtights/tights
AY357_BL6855,/data/v1/CA/products/full/AY357/c/womens_category/pajamas/nightgowns
BC876_EE1510,/data/v1/CA/products/full/BC876/c/shops/associatediscountexclusions
AY355_BL6855,/data/v1/CA/products/full/AY355/c/womens_category/pajamas/pajamasets
BC877_EE1509,/data/v1/CA/products/full/BC877/c/shops/associatediscountexclusions
BC478_EE1050,/data/v1/CA/products/full/BC478/c/womens_category/all_accessories/sunglass_accessories
AY749_DM4749,/data/v1/CA/products/full/AY749/c/shops/reimagined/denim
BC257_NA6434,/data/v1/CA/products/full/BC257/c/womens_category/shoes/sandals
BC258_EE1379,/data/v1/CA/products/full/BC258/c/womens_category/shoes/sandals
BB106_PT0128,/data/v1/CA/products/full/BB106/c/womens_category/all_accessories/scarvesandwraps
BB644_EE1176,/data/v1/CA/products/full/BB644/c/womens_category/shoes/sneakers
BA729_GR6712,/data/v1/CA/products/full/BA729/c/womens_category/jewelry/acetate
BB143_EE0950,/data/v1/CA/products/full/BB143/c/womens_category/brandswelove/shoes
AY769_YL5433,/data/v1/CA/products/full/AY769/c/womens_category/jewelry/metals
AX897_BR6178,/data/v1/CA/products/full/AX897/c/shops/the_summer_weddings_shop/womens
AY323_BK0001,/data/v1/CA/products/full/AY323/c/shops/summer_deals/shoes
AY424_BK0001,/data/v1/CA/products/full/AY424/c/womens_category/shoes/sandals
AX954_GR8371,/data/v1/CA/products/full/AX954/c/womens_category/swimwear
AY468_PP2195,/data/v1/CA/products/full/AY468/c/shops/reimagined/tshirtstanktops
AY453_PP2185,/data/v1/CA/products/full/AY453/c/shops/reimagined/tshirtstanktops
AY928_NA6167,/data/v1/CA/products/full/AY928/c/shops/summer_deals/skirts
AZ224_SU3812,/data/v1/CA/products/full/AZ224/c/shops/reimagined/sweaters
AX966_WY8222,/data/v1/CA/products/full/AX966/c/womens_category/swimwear
AZ246_PT0077,/data/v1/CA/products/full/AZ246/c/shops/bundles/w_knits
AZ248_BK0001,/data/v1/CA/products/full/AZ248/c/womens_category/shorts/3inch
AY096_DM5285,/data/v1/CA/products/full/AY096/c/womens_category/denim_jeans/demiboot
AY831_SU7824,/data/v1/CA/products/full/AY831/c/womens_category/sweaters/pullover
AX334_EE0592,/data/v1/CA/products/full/AX334/c/womens_category/socksandtights/noshows
AY075_PP1303,/data/v1/CA/products/full/AY075/c/womens_category/tshirts_tanktops/shortsleevetshirts
AY423_PT0002,/data/v1/CA/products/full/AY423/c/shops/linen_shop/womens
AY402_WT0002,/data/v1/CA/products/full/AY402/c/shops/reimagined/dresses_jumpsuits
AZ243_SU3929,/data/v1/CA/products/full/AZ243/c/womens_category/sweaters/pullover
AY704_WT0002,/data/v1/CA/products/full/AY704/c/shops/reimagined/pajamas
AY897_WY7588,/data/v1/CA/products/full/AY897/c/womens_category/pants/relaxed
AY865_NA6434,/data/v1/CA/products/full/AY865/c/shops/reimagined/tshirtstanktops
AY829_NA6434,/data/v1/CA/products/full/AY829/c/womens_category/sweaters/pullover
AX359_NA6445,/data/v1/CA/products/full/AX359/c/womens_category/handbags/totes
BA071_EE0635,/data/v1/CA/products/full/BA071/c/womens_category/all_accessories/sunglass_accessories
AX866_SU7819,/data/v1/CA/products/full/AX866/c/shops/reimagined/sweaters
AY546_PK5678,/data/v1/CA/products/full/AY546/c/shops/summer_deals/shoes
AY973_DM5495,/data/v1/CA/products/full/AY973/c/shops/reimagined/denim
AY619_PT0009,/data/v1/CA/products/full/AY619/c/shops/reimagined/dresses_jumpsuits
AY443_WT0002,/data/v1/CA/products/full/AY443/c/shops/bundles/w_knits
AY771_GY6372,/data/v1/CA/products/full/AY771/c/womens_category/jewelry/metals
AY954_WT0002,/data/v1/CA/products/full/AY954/c/womens_category/shorts/4inch
AY370_PT0008,/data/v1/CA/products/full/AY370/c/shops/reimagined/pajamas
BA073_NA6464,/data/v1/CA/products/full/BA073/c/womens_category/all_accessories/scarvesandwraps
AY085_GR6056,/data/v1/CA/products/full/AY085/c/shops/bundles/w_knits
AX936_PT0009,/data/v1/CA/products/full/AX936/c/shops/reimagined/swimwear
AY442_WT0002,/data/v1/CA/products/full/AY442/c/shops/bundles/w_knits
AZ089_WQ9876,/data/v1/CA/products/full/AZ089/c/shops/reimagined/accessories
AZ138_EE0275,/data/v1/CA/products/full/AZ138/c/womens_category/handbags/straw
AX959_WY5878,/data/v1/CA/products/full/AX959/c/womens_category/swimwear
AX995_WY7826,/data/v1/CA/products/full/AX995/c/womens_category/swimwear
AZ191_PT0008,/data/v1/CA/products/full/AZ191/c/shops/linen_shop/womens
AX887_BK0001,/data/v1/CA/products/full/AX887/c/womens_category/shoes/sandals
AY775_EC7253,/data/v1/CA/products/full/AY775/c/womens_feature/what_to_wear_next/zoom_upgrades
AY445_BK0001,/data/v1/CA/products/full/AY445/c/shops/reimagined/tshirtstanktops
AY545_PK0044,/data/v1/CA/products/full/AY545/c/womens_category/shoes/flats
AY785_YL5433,/data/v1/CA/products/full/AY785/c/womens_category/jewelry/metals
AY394_WT0002,/data/v1/CA/products/full/AY394/c/shops/reimagined/swimwear
AY041_WY6582,/data/v1/CA/products/full/AY041/c/womens_category/matching_sets
